niño1,niño2,niña3,niña4,niña5,niño6,niña7,niña8,niño9,niña10
c,c,c,a,c,a,c,c,e,a
e,c,e,e,e,c,e,e,e,e
b,a,a,a,b,a,a,b,e,a
d,a,d,c,c,a,c,c,e,c
d,a,a,c,c,a,c,d,d,c
c,c,c,b,e,b,a,c,c,e
a,b,a,e,a,e,b,c,c,a
c,e,c,a,a,a,d,e,c,a
d,a,a,a,a,a,d,c,e,a
a,e,e,a,d,c,c,d,a,d
d,d,d,a,d,e,d,d,d,d
a,a,a,a,a,d,d,a,a,a
c,c,b,b,b,b,e,e,c,b
e,c,c,d,d,d,a,a,c,d
e,a,a,a,a,a,e,b,e,a
d,e,b,c,c,c,b,a,e,c
d,a,c,e,e,e,c,c,d,e
b,e,d,e,e,b,a,a,b,b
e,b,c,a,b,b,d,d,e,b
b,b,b,a,c,a,e,a,b,a
d,d,d,c,d,c,c,d,d,c
d,a,c,e,e,e,c,e,d,e
e,b,d,d,d,d,d,d,e,d
a,a,e,e,e,e,c,e,a,c
a,b,b,d,d,d,d,e,c,d
b,b,e,b,b,b,a,a,e,a
d,b,b,c,c,a,a,a,d,a
